season,team,g,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
1980,"Atlanta Hawks",82,3144,6872,46,183,2000,2616,1261,2339,3600,1758,682,554,1660,2171,8334
1980,"Portland Trail Blazers",82,3349,7008,55,186,1716,2281,1138,2358,3496,2008,756,395,1450,1880,8469
1980,"Seattle SuperSonics",82,3408,7424,59,240,1640,2147,1203,2409,3612,2016,728,393,1519,1997,8515
1980,"Philadelphia 76ers",82,3444,7561,75,277,1640,2145,1318,2352,3670,2089,876,388,1561,2100,8603
1980,"Kansas City Kings",82,3328,6992,41,172,1906,2497,1140,2644,3784,1778,695,425,1762,2072,8603
1980,"Boston Celtics",82,3439,7313,74,259,1712,2222,1168,2294,3462,1867,686,419,1635,2059,8664
1980,"Milwaukee Bucks",82,3456,7487,76,305,1714,2275,1360,2293,3653,2154,717,358,1638,1912,8702
1980,"Phoenix Suns",82,3563,7480,100,297,1593,2119,1216,2447,3663,2026,882,389,1663,2051,8819
1980,"Golden State Warriors",82,3438,6975,72,219,1905,2544,1056,2564,3620,2091,720,361,1486,1785,8853
1980,"Utah Jazz",82,3559,7182,67,211,1702,2205,1159,2288,3447,1997,710,398,1274,1782,8887
1980,"Los Angeles Lakers",82,3723,7921,78,274,1430,1884,1312,2242,3554,2324,797,382,1420,1860,8954
1980,"New Jersey Nets",82,3480,7427,58,208,1957,2572,1285,2596,3881,2189,849,514,1692,2042,8975
1980,"Washington Bullets",82,3615,7771,56,214,1696,2184,1197,2672,3869,2120,734,519,1222,1901,8982
1980,"Chicago Bulls",82,3585,7222,54,199,1811,2358,1159,2345,3504,2109,846,498,1543,2203,9035
1980,"Houston Rockets",82,3658,7382,58,215,1696,2153,1290,2317,3607,2223,778,428,1597,2049,9070
1980,"San Diego Clippers",82,3752,7508,43,187,1613,2086,1222,2487,3709,2012,764,408,1391,1889,9160
1980,"Indiana Pacers",82,3693,7545,56,228,1734,2295,1394,2552,3946,2323,738,470,1758,2028,9176
1980,"Denver Nuggets",82,3736,7591,70,214,1698,2235,1197,2587,3784,2289,812,455,1438,2033,9240
