season,category,player_name,dfg_pct,expected_pct,diff_pct,freq,att,gp
2014,Overall,DeAndre Jordan,0.455,0.479,-0.024,1.0,16.77,82
2014,Overall,Spencer Hawes,0.457,0.473,-0.016,1.0,16.06,80
2014,Overall,Robin Lopez,0.434,0.478,-0.044,1.0,16.04,82
2014,Overall,Serge Ibaka,0.444,0.471,-0.027,1.0,15.68,81
2014,Overall,Joakim Noah,0.425,0.47,-0.046,1.0,15.58,80
2014,Overall,Brook Lopez,0.408,0.471,-0.063,1.0,15.29,17
2014,Overall,Marcin Gortat,0.47,0.473,-0.003,1.0,15.29,80
2014,Overall,Kevin Love,0.501,0.473,0.028,1.0,15.18,77
2014,Overall,LaMarcus Aldridge,0.473,0.471,0.002,1.0,15.04,69
2014,Overall,Paul Millsap,0.469,0.463,0.006,1.0,14.99,73
2014,Overall,Pau Gasol,0.491,0.482,0.009,1.0,14.65,60
2014,Overall,Roy Hibbert,0.418,0.477,-0.059,1.0,14.0,81
2014,Overall,Anthony Davis,0.427,0.464,-0.037,1.0,13.95,66
2014,Overall,Al Jefferson,0.463,0.479,-0.015,1.0,13.85,72
2014,Overall,Josh Smith,0.449,0.46,-0.011,1.0,13.75,77
2014,Overall,Kemba Walker,0.417,0.434,-0.017,1.0,13.6,72
2014,Overall,Chris Bosh,0.462,0.469,-0.007,1.0,13.32,79
2014,Overall,Thaddeus Young,0.5,0.457,0.043,1.0,13.22,79
2014,Overall,Derrick Favors,0.472,0.479,-0.007,1.0,13.21,73
2014,Overall,Andre Drummond,0.488,0.472,0.016,1.0,13.16,81
2014,Overall,Tim Duncan,0.449,0.48,-0.031,1.0,13.09,74
2014,Overall,Terrence Jones,0.469,0.463,0.006,1.0,13.05,75
2014,Overall,David Lee,0.438,0.473,-0.035,1.0,12.97,68
2014,Overall,Tyson Chandler,0.466,0.466,0.0,1.0,12.96,54
2014,Overall,DeMarcus Cousins,0.456,0.477,-0.022,1.0,12.86,70
2014,Overall,Zach Randolph,0.495,0.477,0.018,1.0,12.79,78
2014,Overall,Ryan Anderson,0.502,0.47,0.032,1.0,12.77,22
2014,Overall,Dwight Howard,0.455,0.474,-0.019,1.0,12.73,71
2014,Overall,Al Horford,0.421,0.47,-0.048,1.0,12.69,29
2014,Overall,Channing Frye,0.485,0.468,0.016,1.0,12.66,82
2014,Overall,Nikola Vučević,0.492,0.479,0.013,1.0,12.65,57
2014,Overall,Dirk Nowitzki,0.469,0.468,0.0,1.0,12.64,80
2014,Overall,Greg Monroe,0.486,0.464,0.023,1.0,12.63,82
2014,Overall,Blake Griffin,0.457,0.469,-0.012,1.0,12.59,80
2014,Overall,Nikola Pekovic,0.494,0.479,0.015,1.0,12.48,54
2014,Overall,Jason Smith,0.513,0.472,0.041,1.0,12.45,31
2014,Overall,Paul George,0.406,0.45,-0.044,1.0,12.24,80
2014,Overall,James Harden,0.414,0.447,-0.033,1.0,12.21,73
2014,Overall,Jonas Valanciunas,0.467,0.476,-0.009,1.0,12.13,80
2014,Overall,Jared Sullinger,0.475,0.468,0.007,1.0,11.95,74
2014,Overall,Tobias Harris,0.463,0.45,0.013,1.0,11.9,61
2014,Overall,Jeremy Lin,0.428,0.44,-0.013,1.0,11.86,71
2014,Overall,Taj Gibson,0.417,0.459,-0.043,1.0,11.85,82
2014,Overall,Amir Johnson,0.46,0.467,-0.008,1.0,11.76,76
2014,Overall,Jimmy Butler III,0.413,0.447,-0.034,1.0,11.63,67
2014,Overall,Nene,0.469,0.461,0.008,1.0,11.58,53
2014,Overall,Luol Deng,0.457,0.449,0.007,1.0,11.57,63
2014,Overall,Andrea Bargnani,0.501,0.467,0.034,1.0,11.55,42
2014,Overall,Marc Gasol,0.465,0.48,-0.015,1.0,11.53,58
2014,Overall,Kevin Durant,0.398,0.451,-0.052,1.0,11.43,81
2014,Overall,Nicolas Batum,0.455,0.451,0.004,1.0,11.4,82
2014,Overall,Andrew Bogut,0.438,0.479,-0.042,1.0,11.39,66
2014,Overall,Victor Oladipo,0.414,0.436,-0.022,1.0,11.35,80
2014,Overall,JJ Hickson,0.476,0.471,0.006,1.0,11.32,69
2014,Overall,Miles Plumlee,0.473,0.484,-0.012,1.0,11.24,80
2014,Overall,Jrue Holiday,0.44,0.436,0.003,1.0,11.24,34
2014,Overall,Klay Thompson,0.409,0.445,-0.036,1.0,11.21,80
2014,Overall,Bradley Beal,0.423,0.438,-0.015,1.0,11.15,72
2014,Overall,Kyle Singler,0.469,0.446,0.023,1.0,11.15,82
2014,Overall,Enes Freedom,0.505,0.478,0.027,1.0,11.11,80
2014,Overall,Tristan Thompson,0.481,0.468,0.013,1.0,11.09,82
2014,Overall,Wilson Chandler,0.429,0.459,-0.029,1.0,11.05,62
2014,Overall,Chandler Parsons,0.435,0.449,-0.014,1.0,11.04,74
2014,Overall,George Hill,0.429,0.441,-0.012,1.0,11.04,76
2014,Overall,Damian Lillard,0.44,0.442,-0.002,1.0,11.04,82
2014,Overall,Isaiah Thomas,0.428,0.436,-0.008,1.0,11.03,71
2014,Overall,Wesley Johnson,0.48,0.459,0.021,1.0,10.9,79
2014,Overall,DeMarre Carroll,0.447,0.45,-0.003,1.0,10.9,73
2014,Overall,Ricky Rubio,0.476,0.442,0.034,1.0,10.87,82
2014,Overall,Kyrie Irving,0.436,0.433,0.003,1.0,10.82,71
2014,Overall,Brandon Bass,0.449,0.462,-0.013,1.0,10.82,82
2014,Overall,Carmelo Anthony,0.438,0.45,-0.012,1.0,10.79,77
2014,Overall,Kenneth Faried,0.483,0.468,0.016,1.0,10.79,80
2014,Overall,Timofey Mozgov,0.446,0.476,-0.03,1.0,10.77,82
2014,Overall,Jodie Meeks,0.454,0.443,0.011,1.0,10.75,76
2014,Overall,Kyle Lowry,0.437,0.439,-0.002,1.0,10.7,77
2014,Overall,Shawn Marion,0.431,0.459,-0.028,1.0,10.59,76
2014,Overall,Eric Bledsoe,0.415,0.442,-0.027,1.0,10.53,43
2014,Overall,Jose Calderon,0.48,0.44,0.04,1.0,10.51,80
2014,Overall,Derrick Rose,0.39,0.433,-0.042,1.0,10.5,10
2014,Overall,Ryan Kelly,0.473,0.457,0.016,1.0,10.49,57
2014,Overall,Mike Conley,0.44,0.442,-0.002,1.0,10.47,73
2014,Overall,Evan Turner,0.494,0.444,0.05,1.0,10.47,81
2014,Overall,Larry Sanders,0.426,0.476,-0.05,1.0,10.45,22
2014,Overall,John Henson,0.468,0.464,0.004,1.0,10.43,69
2014,Overall,Josh McRoberts,0.477,0.464,0.013,1.0,10.4,77
2014,Overall,Jeff Green,0.466,0.452,0.014,1.0,10.37,82
2014,Overall,Monta Ellis,0.493,0.445,0.048,1.0,10.29,82
2014,Overall,Matt Barnes,0.424,0.452,-0.027,1.0,10.29,63
2014,Overall,Draymond Green,0.42,0.456,-0.036,1.0,10.25,79
2014,Overall,Brandon Knight,0.463,0.438,0.025,1.0,10.23,71
2014,Overall,Corey Brewer,0.449,0.445,0.003,1.0,10.23,81
2014,Overall,Ersan Ilyasova,0.534,0.465,0.069,1.0,10.17,54
2014,Overall,Markieff Morris,0.473,0.463,0.009,1.0,10.16,81
2014,Overall,Glen Davis,0.459,0.468,-0.008,1.0,10.15,68
2014,Overall,Shane Battier,0.479,0.459,0.02,1.0,10.14,72
2014,Overall,Andre Iguodala,0.453,0.449,0.004,1.0,9.98,63
2014,Overall,Deron Williams,0.425,0.43,-0.005,1.0,9.97,64
2014,Overall,Rudy Gay,0.452,0.456,-0.003,1.0,9.89,72
2014,Overall,Wesley Matthews,0.438,0.445,-0.007,1.0,9.88,82
2014,Overall,Jordan Hill,0.474,0.468,0.006,1.0,9.85,72
2014,Overall,Kobe Bryant,0.356,0.459,-0.103,1.0,9.83,6
2014,Overall,Danny Green,0.433,0.45,-0.017,1.0,9.82,68
2014,Overall,Chris Kaman,0.384,0.473,-0.089,1.0,9.82,39
2014,Overall,Michael Carter-Williams,0.458,0.437,0.021,1.0,9.8,70
2014,Overall,Anderson Varejao,0.456,0.466,-0.01,1.0,9.78,65
2014,Overall,Kyle Korver,0.455,0.44,0.016,1.0,9.76,70
2014,Overall,Alec Burks,0.48,0.442,0.039,1.0,9.72,78
2014,Overall,Stephen Curry,0.421,0.442,-0.021,1.0,9.69,77
2014,Overall,Tony Parker,0.458,0.436,0.022,1.0,9.69,67
2014,Overall,Khris Middleton,0.449,0.446,0.003,1.0,9.68,81
2014,Overall,Raymond Felton,0.435,0.437,-0.002,1.0,9.62,65
2014,Overall,Paul Pierce,0.467,0.458,0.009,1.0,9.61,74
2014,Overall,Boris Diaw,0.451,0.461,-0.01,1.0,9.61,79
2014,Overall,Zaza Pachulia,0.523,0.473,0.05,1.0,9.56,52
2014,Overall,Kris Humphries,0.445,0.463,-0.018,1.0,9.51,68
2014,Overall,Michael Kidd-Gilchrist,0.446,0.456,-0.01,1.0,9.49,61
2014,Overall,Arron Afflalo,0.488,0.442,0.045,1.0,9.49,73
2014,Overall,LeBron James,0.434,0.449,-0.015,1.0,9.49,77
2014,Overall,John Wall,0.467,0.435,0.032,1.0,9.47,81
